Character,Sentence
Dumbledore,"I should've known that you would be here, Professor McGonagall."
Mcgonagall,"Good evening, Professor Dumbledore."
Mcgonagall,"Are the rumors true, Albus?"
Dumbledore,"I'm afraid so, professor."
Dumbledore,The good and the bad.
Mcgonagall,And the boy?
Dumbledore,Hagrid is bringing him.
Mcgonagall,Do you think it wise to trust Hagrid with something as important as this?
Dumbledore,"Ah, Professor, I would trust Hagrid with my life."
Hagrid,"Professor Dumbledore, sir."
Hagrid,Professor McGonagall.
Dumbledore,"No problems, I trust, Hagrid?"
Hagrid,"No, sir."
Hagrid,Little tyke fell asleep just as we were flying over Bristol.
Hagrid,Try not to wake him.
Hagrid,There you go.
Dumbledore,"Albus, do you really think it's safe, leaving him with these people?"
Mcgonagall,I've watched them all day.
Mcgonagall,"They're the worst sort of Muggles, imaginable."
Mcgonagall,They really are...
Dumbledore,The only family he has.
Mcgonagall,This boy will be famous.
Mcgonagall,There won't be a child in our world who doesn't know his name.
Dumbledore,Exactly.
Dumbledore,He's far better off growing up away from all of that.
Dumbledore,Until he's ready.
Dumbledore,"There, there, Hagrid."
Dumbledore,"It's not really goodbye, after all."
Dumbledore,Good luck...Harry Potter.
Petunia,Up. Get up!
Petunia,Now!
Dudley,"Wake up, cousin!"
Dudley,We're going to the zoo!
Petunia,"Here he comes, the birthday boy."
Vernon,"Happy birthday, son."
Petunia,"Why don't you just cook the breakfast, and try not to burn anything."
Harry,"Yes, Aunt Petunia."
Petunia,I want everything to be perfect for my Dudley's special day!
Vernon,"Hurry up! Bring my coffee, boy."
Harry,"Yes, Uncle Vernon."
Petunia,"Aren't they wonderful, darling?"
Dudley,How many are there?
Vernon,36. Counted them myself.
Dudley,36?! But last year... last year I had 37!
Vernon,But some of them are quite a bit bigger than last year's.
Dudley,I don't care how big they are!
Petunia,"Oh, now, now, now. "
Petunia,This is what we're going to do...
Petunia,"is that when we go out, we're going to buy you two new presents."
Petunia,"How's that, pumpkin?"
Petunia,It should be a lovely day at the zoo.
Petunia,I'm really looking forward to it.
Vernon,"I'm warning you now, boy."
Vernon,"Any funny business, any at all..."
Vernon,And you won't have any meals for a week.
Vernon,Get in.
Dudley,Make it move.
Vernon,Move!
Dudley,Move!
Harry,He's asleep!
Dudley,He's boring.
Harry,Sorry about him.
Harry,"He doesn't understand what it's like, lying there day after day..."
Harry,...watching people press their ugly faces in on you.
Harry,Can you hear me?
Harry,"It's just, I've never talked to a snake before."
Harry,Do you...?
Harry,"I mean, do you talk to people often?"
Harry,"You're from Burma, aren't you?"
Harry,Was it nice there?
Harry,Do you miss your family?
Harry,I see. That's me as well.
Harry,I never knew my parents either.
Harry,"Mummy, Dad, come here! "
Dudley,you won't believe what this snake is doing!
Snake,Thanks.
Harry,Anytime.
Someone,Snake!
Dudley,Mum! Mummy! Help me!
Petunia,My darling boy!
Petunia,How did you get in there?
Petunia,Who did this?
Petunia,How did you get in there?
Petunia,ls there a snake?
Petunia,"It's all right, sweetheart."
Petunia,We'll get you out of these cold clothes.
Vernon,What happened?
Harry,"I swear, I don't know!"
Harry,"One minute the glass was there and then it was gone, it was like magic."
Vernon,There's no such thing as magic.
Petunia,And smile!
Petunia,"Vernon, just look at him!"
Petunia,I can't believe it!
Petunia,"In just a week, he'll be off to Smeltings."
Vernon,Caveat Smeltonia.
Vernon,Proudest moment of my life.
Harry,Will I have to wear that too?
Petunia,What? You? Go to Smeltings?
Petunia,Don't be so stupid!
Petunia,You're going to go to the state school.
Petunia,Where you belong.
Petunia,"This is what you'll going to be wearing, when I finish dyeing it."
Harry,That's Dudley's old uniform.
Harry,It'll fit me like bits of old elephant skin.
Petunia,It'll fit you well enough.
Petunia,Go get the post. Go!
Vernon,Marge is ill. Ate a funny whelk.
Dudley,"Dad, look! Harry's got a letter!"
Harry,"Hey, give it back! It's mine!"
Vernon,Yours? Who'd be writing to you?
Vernon,No more mail through this letterbox.
Petunia,"Have a lovely day at the office, dear."
Vernon,Shoo! Go on.
Vernon,"Fine day, Sunday."
Vernon,"In my opinion, best day of the week."
Vernon,"Why is that, Dudley?"
Harry,Because there's no post on Sundays?
Vernon,"Right you are, Harry!"
Vernon,No post on Sunday.
Vernon,"No blasted letters today! No, sir."
Vernon,Not one single bloody letter. Not one!
Vernon,"No, sir, not one blasted, miserable..."
Dudley,Stop it!
Dudley,"Mummy, what's happening?"
Vernon,Give me that!
Vernon,Give me that letter!
Harry,Get off!
Harry,They're my letters!
Harry,Let go of me!
Vernon,That's it!
Vernon,We're going away!
Vernon,"Far away, where they can't find us!"
Dudley,"Daddy's gone mad, hasn't he?"
Harry,"Make a wish, Harry."
Vernon,Who's there?
Hagrid,Sorry about that.
Vernon,"I demand that you leave at once, Sir!"
Vernon,You are breaking and entering!
Hagrid,"Dry up, Dursley, you great prune."
